"Order"	"Family"	"Genus"	"Species"	"Common names (Eng)"	"Red List status"	"genus-order"	"species-order"
"APODIFORMES"	"APODIDAE"	"Apus"	"acuticauda"	"Dark-rumped Swift"	"VU"	52	0
"APODIFORMES"	"APODIDAE"	"Apus"	"affinis"	"Little Swift"	"LC"	52	11
"APODIFORMES"	"APODIDAE"	"Apus"	"nipalensis"	"House Swift"	"LC"	52	12
"APODIFORMES"	"APODIDAE"	"Apus"	"horus"	"Horus Swift"	"LC"	52	13
"APODIFORMES"	"APODIDAE"	"Apus"	"caffer"	"White-rumped Swift"	"LC"	52	14
"APODIFORMES"	"APODIDAE"	"Apus"	"batesi"	"Bates's Swift"	"LC"	52	15
"APODIFORMES"	"APODIDAE"	"Chaetura"	"spinicaudus"	"Band-rumped Swift"	"LC"	53	1
"APODIFORMES"	"APODIDAE"	"Chaetura"	"fumosa"	"Costa Rican Swift"	"LC"	53	2
"APODIFORMES"	"APODIDAE"	"Chaetura"	"martinica"	"Lesser Antillean Swift"	"LC"	53	3
"APODIFORMES"	"APODIDAE"	"Chaetura"	"cinereiventris"	"Grey-rumped Swift"	"LC"	53	4
"APODIFORMES"	"APODIDAE"	"Chaetura"	"egregia"	"Pale-rumped Swift"	"LC"	53	5
"APODIFORMES"	"APODIDAE"	"Chaetura"	"pelagica"	"Chimney Swift"	"NT"	53	0
"APODIFORMES"	"APODIDAE"	"Chaetura"	"vauxi"	"Vaux's Swift"	"LC"	53	6
"APODIFORMES"	"APODIDAE"	"Chaetura"	"chapmani"	"Chapman's Swift"	"LC"	53	7
"APODIFORMES"	"APODIDAE"	"Chaetura"	"viridipennis"	"Amazonian Swift"	"LC"	53	8
"APODIFORMES"	"APODIDAE"	"Chaetura"	"meridionalis"	"Sick's Swift"	"LC"	53	9
"APODIFORMES"	"APODIDAE"	"Chaetura"	"brachyura"	"Short-tailed Swift"	"LC"	53	10
"APODIFORMES"	"APODIDAE"	"Collocalia"	"esculenta"	"Glossy Swiftlet"	"LC"	54	6
"APODIFORMES"	"APODIDAE"	"Collocalia"	"linchi"	"Cave Swiftlet"	"LC"	54	7
"APODIFORMES"	"APODIDAE"	"Collocalia"	"troglodytes"	"Pygmy Swiftlet"	"LC"	54	8
"APODIFORMES"	"APODIDAE"	"Collocalia"	"elaphra"	"Seychelles Swiftlet"	"VU"	54	1
"APODIFORMES"	"APODIDAE"	"Collocalia"	"francica"	"Mascarene Swiftlet"	"NT"	54	4
"APODIFORMES"	"APODIDAE"	"Collocalia"	"unicolor"	"Indian Swiftlet"	"LC"	54	9
"APODIFORMES"	"APODIDAE"	"Collocalia"	"mearnsi"	"Philippine Swiftlet"	"LC"	54	10
"APODIFORMES"	"APODIDAE"	"Collocalia"	"infuscata"	"Moluccan Swiftlet"	"LC"	54	11
"APODIFORMES"	"APODIDAE"	"Collocalia"	"hirundinacea"	"Mountain Swiftlet"	"LC"	54	12
"APODIFORMES"	"APODIDAE"	"Collocalia"	"spodiopygia"	"White-rumped Swiftlet"	"LC"	54	13
"APODIFORMES"	"APODIDAE"	"Collocalia"	"brevirostris"	"Himalayan Swiftlet"	"LC"	54	14
"APODIFORMES"	"APODIDAE"	"Collocalia"	"vulcanorum"	"Volcano Swiftlet"	"NT"	54	5
"APODIFORMES"	"APODIDAE"	"Collocalia"	"rogersi"	"Indochinese Swiftlet"	"LC"	54	15
"APODIFORMES"	"APODIDAE"	"Collocalia"	"nuditarsus"	"Bare-legged Swiftlet"	"LC"	54	16
"APODIFORMES"	"APODIDAE"	"Collocalia"	"salangana"	"Mossy-nest Swiftlet"	"LC"	54	17
"APODIFORMES"	"APODIDAE"	"Collocalia"	"palawanensis"	"Palawan Swiftlet"	"LC"	54	18
"APODIFORMES"	"APODIDAE"	"Collocalia"	"amelis"	"Grey Swiftlet"	"LC"	54	19
"APODIFORMES"	"APODIDAE"	"Collocalia"	"vanikorensis"	"Uniform Swiftlet"	"LC"	54	20
"APODIFORMES"	"APODIDAE"	"Collocalia"	"pelewensis"	"Palau Swiftlet"	"LC"	54	21
"APODIFORMES"	"APODIDAE"	"Collocalia"	"inquieta"	"Micronesian Swiftlet"	"LC"	54	22
"APODIFORMES"	"APODIDAE"	"Collocalia"	"bartschi"	"Guam Swiftlet"	"EN"	54	0
"APODIFORMES"	"APODIDAE"	"Collocalia"	"sawtelli"	"Atiu Swiftlet"	"VU"	54	2
"APODIFORMES"	"APODIDAE"	"Collocalia"	"leucophaea"	"Tahiti Swiftlet"	"VU"	54	3
"APODIFORMES"	"APODIDAE"	"Collocalia"	"ocista"	"Marquesan Swiftlet"	"LC"	54	23
"APODIFORMES"	"APODIDAE"	"Collocalia"	"maxima"	"Black-nest Swiftlet"	"LC"	54	24
"APODIFORMES"	"APODIDAE"	"Collocalia"	"fuciphaga"	"Edible-nest Swiftlet"	"LC"	54	25
"APODIFORMES"	"APODIDAE"	"Collocalia"	"germani"	"German's Swiftlet"	"LC"	54	26
"APODIFORMES"	"APODIDAE"	"Cypseloides"	"niger"	"American Black Swift"	"LC"	55	1
"APODIFORMES"	"APODIDAE"	"Cypseloides"	"lemosi"	"White-chested Swift"	"LC"	55	2
"APODIFORMES"	"APODIDAE"	"Cypseloides"	"rothschildi"	"Rothschild's Swift"	"NT"	55	0
"APODIFORMES"	"APODIDAE"	"Cypseloides"	"fumigatus"	"Sooty Swift"	"LC"	55	3
"APODIFORMES"	"APODIDAE"	"Cypseloides"	"cryptus"	"White-chinned Swift"	"LC"	55	4
"APODIFORMES"	"APODIDAE"	"Cypseloides"	"senex"	"Great Dusky Swift"	"LC"	55	5
"APODIFORMES"	"APODIDAE"	"Cypsiurus"	"parvus"	"African Palm-swift"	"LC"	56	0
"APODIFORMES"	"APODIDAE"	"Cypsiurus"	"balasiensis"	"Asian Palm-swift"	"LC"	56	1
"APODIFORMES"	"APODIDAE"	"Hirundapus"	"caudacutus"	"White-throated Needletail"	"LC"	57	0
"APODIFORMES"	"APODIDAE"	"Hirundapus"	"cochinchinensis"	"Silver-backed Needletail"	"LC"	57	1
"APODIFORMES"	"APODIDAE"	"Hirundapus"	"giganteus"	"Brown-backed Needletail"	"LC"	57	2
"APODIFORMES"	"APODIDAE"	"Hirundapus"	"celebensis"	"Purple Needletail"	"LC"	57	3
"APODIFORMES"	"APODIDAE"	"Hydrochous"	"gigas"	"Waterfall Swift"	"NT"	58	0
"APODIFORMES"	"APODIDAE"	"Mearnsia"	"picina"	"Philippine Needletail"	"NT"	59	0
"APODIFORMES"	"APODIDAE"	"Mearnsia"	"novaeguineae"	"Papuan Needletail"	"LC"	59	1
"APODIFORMES"	"APODIDAE"	"Neafrapus"	"cassini"	"Cassin's Spinetail"	"LC"	60	0
"APODIFORMES"	"APODIDAE"	"Neafrapus"	"boehmi"	"Bat-like Spinetail"	"LC"	60	1
"APODIFORMES"	"APODIDAE"	"Panyptila"	"sanctihieronymi"	"Great Swallow-tailed Swift"	"LC"	61	0
"APODIFORMES"	"APODIDAE"	"Panyptila"	"cayennensis"	"Lesser Swallow-tailed Swift"	"LC"	61	1
"APODIFORMES"	"APODIDAE"	"Rhaphidura"	"leucopygialis"	"Silver-rumped Spinetail"	"LC"	62	0
"APODIFORMES"	"APODIDAE"	"Rhaphidura"	"sabini"	"Sabine's Spinetail"	"LC"	62	1
